============================================================================================
ANSOFT                                                                              04/04/20
XY Plot 2                                                                           14:51:53

--------------------------------------------------------------------------------------------
        Freq [GHz]        re(S(2,2)) []        im(S(2,2)) []        re(S(5,2)) []        im(S(5,2)) []
                                                                                                      
 2.000000000000000    0.158370206138616    0.057012001075901   -0.174190824340229    0.022745220530926
 2.100000000000000    0.148710446569790    0.039677236000431   -0.165781253476880    0.044717468378057
 2.200000000000000    0.137998555430286    0.025421541069435   -0.154907017197456    0.064889022996723
 2.300000000000000    0.126769204699138    0.014062833518946   -0.141853348858766    0.083056560414326
 2.400000000000000    0.115477205920740    0.005363375355196   -0.126909849319640    0.099042265126194
 2.500000000000000    0.104498250497337   -0.000955106004665   -0.110372997402412    0.112692918231459
 2.600000000000000    0.094130678571593   -0.005197669232825   -0.092548166117298    0.123880562233674
 2.700000000000000    0.084598273905028   -0.007683485545088   -0.073750841078487    0.132504444155038
 2.800000000000000    0.076054160683820   -0.008734101269937   -0.054306792523613    0.138493924185683
 2.900000000000000    0.068585895216543   -0.008662644211869   -0.034551005239429    0.141812012462991
 3.000000000000000    0.062221810098620   -0.007764105402700   -0.014825230896955    0.142459166040022
 3.100000000000000    0.056938590734264   -0.006306918119540    0.004525899004789    0.140476948652823
 3.200000000000000    0.052669957215443   -0.004526102722024    0.023160171664326    0.135951136335621
 3.300000000000000    0.049316205071798   -0.002618242171024    0.040744370877806    0.129013851732527
 3.400000000000000    0.046754245488154   -0.000738497823026    0.056961889499714    0.119844337793163
 3.500000000000000    0.044847698561858    0.001000225821495    0.071521020309267    0.108668043588870
 3.600000000000000    0.043456548280255    0.002525992040740    0.084163472070489    0.095753793201928
 3.700000000000000    0.042445875067886    0.003804589783696    0.094672588847648    0.081408939450831
 3.800000000000000    0.041693242378878    0.004834648243827    0.102880722959751    0.065972558038823
 3.900000000000000    0.041094420284193    0.005641527740898    0.108675234036653    0.049806899641477
 4.000000000000000    0.040567266240601    0.006270472921495    0.112002660885137    0.033287469184649
 4.100000000000000    0.040053731823066    0.006779529943827    0.112870734130228    0.016792224368223
 4.200000000000000    0.039520104359453    0.007232695658834    0.111348053349710    0.000690463563274
 4.300000000000000    0.038955707611592    0.007693692754528    0.107561424580412   -0.014668003283789
 4.400000000000000    0.038370365207070    0.008220664253137    0.101691022021180   -0.028962840111793
 4.500000000000000    0.037790970540563    0.008861969264475    0.093963681938322   -0.041911849189984
 4.600000000000000    0.037257509669531    0.009653153932151    0.084644742038335   -0.053277957523192
 4.700000000000000    0.036818856259429    0.010615078171905    0.074028897435076   -0.062874308291554
 4.800000000000000    0.036528609292158    0.011753106868357    0.062430553823609   -0.070567381903024
 4.900000000000000    0.036441184874736    0.013057226127745    0.050174125404230   -0.076278197916200
 5.000000000000000    0.036608311782119    0.014502919890332    0.037584660258635   -0.079981749118690
 5.100000000000000    0.037076022998940    0.016052636188047    0.024979092566451   -0.081704886147127
 5.200000000000000    0.037882186793318    0.017657680861725    0.012658332646556   -0.081522904482701
 5.300000000000000    0.039054582864733    0.019260394661462    0.000900323802938   -0.079555089361471
 5.400000000000000    0.040609502191048    0.020796492834332   -0.010045872320048   -0.075959455205182
 5.500000000000000    0.042550832456818    0.022197470894026   -0.019964948063315   -0.070926883309590
 5.600000000000000    0.044869582753859    0.023393003584046   -0.028679193398034   -0.064674823576370
 5.700000000000000    0.047543799678658    0.024313284341447   -0.036051333524061   -0.057440690903820
 5.800000000000000    0.050538830074418    0.024891268881111   -0.041986377905540   -0.049475060547418
 5.900000000000000    0.053807891714227    0.025064798494009   -0.046432484720622   -0.041034753178187
 6.000000000000000    0.057292920687955    0.024778586354422   -0.049380829287622   -0.032375900931917
 6.100000000000000    0.060925671905110    0.023986053903158   -0.050864454028942   -0.023747099469479
 6.200000000000000    0.064629055976770    0.022651004724638   -0.050956076401839   -0.015382774754592
 6.300000000000000    0.068318701021237    0.020749120870219   -0.049764843869196   -0.007496921862447
 6.400000000000000    0.071904731049810    0.018269261964564   -0.047432053184738   -0.000277400375320
 6.500000000000000    0.075293753069604    0.015214541386514   -0.044125894277627    0.006119009937766
 6.600000000000000    0.078391042553672    0.011603147121664   -0.040035333443135    0.011570584647931
 6.700000000000000    0.081102911271708    0.007468868396911   -0.035363310585299    0.015993467096945
 6.800000000000000    0.083339232606054    0.002861283867058   -0.030319483401349    0.019343158883091
 6.900000000000000    0.085016087565437   -0.002154436052526   -0.025112799477380    0.021614585400089
 7.000000000000000    0.086058480189598   -0.007498160062118   -0.019944207759083    0.022840705574241
 7.100000000000000    0.086403054677726   -0.013075903094185   -0.014999828210372    0.023089716503238
 7.200000000000000    0.086000729515049   -0.018781443180959   -0.010444880124290    0.022460985963827
 7.300000000000000    0.084819147649247   -0.024498466198920   -0.006418626496865    0.021079919581870
 7.400000000000000    0.082844828269370   -0.030103235123781   -0.003030528539071    0.019092026760085
 7.500000000000000    0.080084897098422   -0.035467753181771   -0.000357727888577    0.016656484501318
 7.600000000000000    0.076568270516157   -0.040463358374788    0.001556107047544    0.013939508496213
 7.700000000000000    0.072346176256618   -0.044964652213567    0.002700611340750    0.011107827104152
 7.800000000000000    0.067491911309541   -0.048853630851136    0.003097336967208    0.008322519970999
 7.900000000000000    0.062099766543549   -0.052023855562256    0.002797305519392    0.005733434921666
 8.000000000000000    0.056283086824161   -0.054384475404456    0.001877687138208    0.003474341332606
 8.100000000000000    0.050171483016741   -0.055863901561730    0.000437805057650    0.001658922159101
 8.199999999999999    0.043907264877605   -0.056412933310946   -0.001405338237779    0.000377655810324
