============================================================================================
ANSOFT                                                                              04/04/20
XY Plot 2                                                                           13:05:24

--------------------------------------------------------------------------------------------
        Freq [GHz]        re(S(1,1)) []        im(S(1,1)) []        re(S(2,1)) []        im(S(2,1)) []
                                                                                                      
 2.000000000000000    0.026875993012419    0.020721730785530    0.625981653783047   -0.775206719422546
 2.100000000000000    0.028727402474416    0.020211172996374    0.590845702988263   -0.802166526282357
 2.200000000000000    0.030525357467725    0.019538492309296    0.554554018114823   -0.827536860238740
 2.300000000000000    0.032255456413128    0.018709161911226    0.517178257185877   -0.851268313976547
 2.400000000000000    0.033903822051655    0.017729896208423    0.478792217597699   -0.873314763998706
 2.500000000000000    0.035457202568435    0.016608599727249    0.439471663406393   -0.893633456762472
 2.600000000000000    0.036903067496568    0.015354308567162    0.399294154190665   -0.912185083628080
 2.700000000000000    0.038229697981119    0.013977124963525    0.358338875410506   -0.928933845873764
 2.800000000000000    0.039426271043800    0.012488145516437    0.316686470186602   -0.943847510723151
 2.900000000000000    0.040482937542989    0.010899383634316    0.274418872446061   -0.956897459116662
 3.000000000000000    0.041390893570877    0.009223686728783    0.231619141403350   -0.968058725808726
 3.100000000000000    0.042142445069654    0.007474648682256    0.188371297365111   -0.977310032267112
 3.200000000000000    0.042731065481687    0.005666518092930    0.144760158861440   -0.984633812774939
 3.300000000000000    0.043151446275125    0.003814102785092    0.100871181114001   -0.990016234079961
 3.400000000000000    0.043399540206730    0.001932671057146    0.056790295853699   -0.993447208892622
 3.500000000000000    0.043472597198825    0.000037850126498    0.012603752498663   -0.994920403499279
 3.600000000000000    0.043369192718051   -0.001854477779483   -0.031602039301746   -0.994433239726696
 3.700000000000000    0.043089248551069   -0.003728281243143   -0.075740665758191   -0.991986891466267
 3.800000000000000    0.042634045877807   -0.005567486945017   -0.119725863676900   -0.987586275939932
 3.900000000000000    0.042006230547325   -0.007356087975844   -0.163471673856199   -0.981240039863676
 4.000000000000000    0.041209810466247   -0.009078252718659   -0.206892593167375   -0.972960540638230
 4.100000000000000    0.040250145016152   -0.010718433834563   -0.249903725348305   -0.962763822670035
 4.200000000000000    0.039133926425460   -0.012261476868585   -0.292420930541073   -0.950669588898612
 4.300000000000000    0.037869153034298   -0.013692727971107   -0.334360973605089   -0.936701167579390
 4.400000000000000    0.036465094408544   -0.014998140206555   -0.375641671234377   -0.920885474343997
 4.500000000000000    0.034932248282482   -0.016164377895249   -0.416182037901829   -0.903252969533352
 4.600000000000000    0.033282289338972   -0.017178918407714   -0.455902430643787   -0.883837610772977
 4.700000000000000    0.031528009872076   -0.018030150804458   -0.494724692685628   -0.862676800735185
 4.800000000000000    0.029683252420022   -0.018707470689652   -0.532572295892784   -0.839811330009588
 4.900000000000000    0.027762834506099   -0.019201370625524   -0.569370482012085   -0.815285314982189
 5.000000000000000    0.025782465681431   -0.019503525437077   -0.605046402645585   -0.789146130604542
 5.100000000000000    0.023758657126004   -0.019606871725203   -0.639529257873250   -0.761444337918569
 5.200000000000000    0.021708624132108   -0.019505680901700   -0.672750433412437   -0.732233606189934
 5.300000000000000    0.019650181866598   -0.019195625063290   -0.704643636171194   -0.701570629493849
 5.400000000000000    0.017601634883820   -0.018673835034382   -0.735145028019540   -0.669515037592076
 5.500000000000000    0.015581660938436   -0.017938949930997   -0.764193357568379   -0.636129300939121
 5.600000000000000    0.013609189725125   -0.016991157631401   -0.791730089710068   -0.601478629659271
 5.700000000000000    0.011703277248622   -0.015832225583113   -0.817699532638487   -0.565630866344626
 5.800000000000000    0.009882976601133   -0.014465521430946   -0.842048962030108   -0.528656372537564
 5.900000000000000    0.008167205992986   -0.012896023016570   -0.864728742031831   -0.490627908779456
 6.000000000000000    0.006574614944810   -0.011130317376140   -0.885692442666657   -0.451620508130709
 6.100000000000000    0.005123449603936   -0.009176588448067   -0.904896953235322   -0.411711343095581
 6.200000000000000    0.003831418192445   -0.007044593296921   -0.922302591261398   -0.370979585918323
 6.300000000000000    0.002715557628153   -0.004745626760470   -0.937873206499696   -0.329506262255059
 6.400000000000000    0.001792102381605   -0.002292474533337   -0.951576279503699   -0.287374098268041
 6.500000000000000    0.001076356640920    0.000300645188959   -0.963383014227804   -0.244667361235231
 6.600000000000000    0.000582570851661    0.003018151269649   -0.973268424124860   -0.201471693818115
 6.700000000000000    0.000323823680343    0.005843180046044   -0.981211411189467   -0.157873942183769
 6.800000000000000    0.000311910417953    0.008757676142521   -0.987194837393135   -0.113961978232950
 6.900000000000000    0.000557238794151    0.011742493117172   -0.991205587959123   -0.069824516243665
 7.000000000000000    0.001068733114550    0.014777503278061   -0.993234625932953   -0.025550924298689
 7.100000000000000    0.001853747563392    0.017841715912626   -0.993277037519430    0.018768969074956
 7.200000000000000    0.002917989433510    0.020913403090561   -0.991332067678738    0.063045072567218
 7.300000000000000    0.004265452956036    0.023970232127793   -0.987403145502815    0.107187233501260
 7.400000000000000    0.005898364305590    0.026989403738021   -0.981497898928840    0.151105442402718
 7.500000000000000    0.007817138254436    0.029947794849352   -0.973628158389014    0.194710040066196
 7.600000000000000    0.010020346843151    0.032822105027446   -0.963809949044832    0.237911926413105
 7.700000000000000    0.012504700327592    0.035589005423179   -0.952063471309247    0.280622770389222
 7.800000000000000    0.015265040554149    0.038225289152153   -0.938413069421107    0.322755220109711
 7.900000000000000    0.018294346809137    0.040708022014879   -0.922887187902577    0.364223112424700
 8.000000000000000    0.021583754085312    0.043014692479382   -0.905518315801081    0.404941681050429
 8.100000000000000    0.025122583610198    0.045123359871485   -0.886342918692085    0.444827762390033
