============================================================================================
ANSOFT                                                                              04/04/20
XY Plot 2                                                                           13:05:43

--------------------------------------------------------------------------------------------
        Freq [GHz]        re(S(1,1)) []        im(S(1,1)) []
                                                            
 2.000000000000000   -0.783662332978894    0.613867927168178
 2.100000000000000   -0.762949237092617    0.639401358163246
 2.200000000000000   -0.741420452082927    0.664215176136891
 2.300000000000000   -0.719102101812783    0.688283243709563
 2.400000000000000   -0.696021151615977    0.711580457644330
 2.500000000000000   -0.672205363377005    0.734082774977507
 2.600000000000000   -0.647683249848029    0.755767236898087
 2.700000000000000   -0.622484028330960    0.776611990373475
 2.800000000000000   -0.596637573851356    0.796596307526537
 2.900000000000000   -0.570174371948883    0.815700602776232
 3.000000000000000   -0.543125471206572    0.833906447761018
 3.100000000000000   -0.515522435637987    0.851196584070782
 3.200000000000000   -0.487397297047841    0.867554933819293
 3.300000000000000   -0.458782507477546    0.882966608094989
 3.400000000000000   -0.429710891842724    0.897417913333372
 3.500000000000000   -0.400215600864856    0.910896355659306
 3.600000000000000   -0.370330064394160    0.923390643252147
 3.700000000000000   -0.340087945215374    0.934890686790789
 3.800000000000000   -0.309523093422521    0.945387598039500
 3.900000000000000   -0.278669501442992    0.954873686638681
 4.000000000000000   -0.247561259785421    0.963342455167599
 4.100000000000000   -0.216232513579837    0.970788592548516
 4.200000000000000   -0.184717419972699    0.977207965863675
 4.300000000000000   -0.153050106433373    0.982597610658129
 4.400000000000000   -0.121264630022794    0.986955719802558
 4.500000000000000   -0.089394937669183    0.990281630990956
 4.600000000000000   -0.057474827490024    0.992575812948395
 4.700000000000000   -0.025537911193948    0.993839850424057
 4.800000000000000    0.006382422409206    0.994076428044329
 4.900000000000000    0.038253042767059    0.993289313100034
 5.000000000000000    0.070041111793955    0.991483337340811
 5.100000000000000    0.101714116917408    0.988664377848354
 5.200000000000000    0.133239902952809    0.984839337058598
 5.300000000000000    0.164586702801652    0.980016122001095
 5.400000000000000    0.195723166972503    0.974203622821779
 5.500000000000000    0.226618391927569    0.967411690653041
 5.600000000000000    0.257241947261103    0.959651114892635
 5.700000000000000    0.287563901718953    0.950933599950357
 5.800000000000000    0.317554848071341    0.941271741518771
 5.900000000000000    0.347185926853479    0.930679002421463
 6.000000000000000    0.376428848990792    0.919169688089495
 6.100000000000000    0.405255917327502    0.906758921713814
 6.200000000000000    0.433640047078904    0.893462619118469
 6.300000000000000    0.461554785229117    0.879297463396586
 6.400000000000000    0.488974328897148    0.864280879348140
 6.500000000000000    0.515873542695016    0.848431007755722
 6.600000000000000    0.542227975102287    0.831766679531653
 6.700000000000000    0.568013873881786    0.814307389767119
 6.800000000000000    0.593208200561435    0.796073271711296
 6.900000000000000    0.617788644007140    0.777085070705892
 7.000000000000000    0.641733633111473    0.757364118098123
 7.100000000000000    0.665022348622488    0.736932305152752
 7.200000000000000    0.687634734136531    0.715812056981689
 7.300000000000000    0.709551506278160    0.694026306507552
 7.400000000000000    0.730754164089562    0.671598468475697
 7.500000000000000    0.751224997650906    0.648552413527462
